champ,time,value
Jinx,0,479.0
Jinx,1,481.0
Jinx,2,540.0
Jinx,3,837.0
Jinx,4,1165.0
Jinx,5,1484.0
Jinx,6,1800.0
Jinx,7,2140.0
Jinx,8,2463.0
Jinx,9,2787.0
Jinx,10,3136.0
Jinx,11,3501.0
Jinx,12,3845.0
Jinx,13,4229.0
Jinx,14,4619.0
Jinx,15,5018.0
Jinx,16,5421.0
Jinx,17,5811.0
Jinx,18,6210.0
Jinx,19,6612.0
Jinx,20,7029.0
Jinx,21,7428.0
Jinx,22,7838.0
Jinx,23,8237.0
Jinx,24,8634.0
Jinx,25,9031.0
Jinx,26,9473.0
Jinx,27,9918.0
Jinx,28,10382.0
Jinx,29,10786.0
Jinx,30,11210.0
Jinx,31,11642.0
Jinx,32,12008.0
Jinx,33,12466.0
Jinx,34,12885.0
Jinx,35,13307.0
Jinx,36,13707.0
Jinx,37,14179.0
Jinx,38,14476.0
Jinx,39,14860.0
Jinx,40,15368.0
Jinx,41,15939.0
Jinx,42,16386.0
Jinx,43,16909.0
Jinx,44,17307.0
Jinx,45,17736.0
Jinx,46,18245.0
Jinx,47,18864.0
Jinx,48,19400.0
Jinx,49,19843.0
Jinx,50,20024.0
Jinx,51,20552.0
Jinx,52,21054.0
Jinx,53,21231.0
Jinx,54,21283.0
Jinx,55,21483.0
Jinx,56,22419.0
Jinx,57,22963.0
Jinx,58,23935.0
Jinx,59,25687.0
Jinx,60,26260.0
Jinx,61,27088.0
Jinx,62,27545.0
Jinx,63,28047.0
Sivir,0,490.0
Sivir,1,491.0
Sivir,2,541.0
Sivir,3,859.0
Sivir,4,1194.0
Sivir,5,1534.0
Sivir,6,1856.0
Sivir,7,2194.0
Sivir,8,2531.0
Sivir,9,2866.0
Sivir,10,3223.0
Sivir,11,3586.0
Sivir,12,3948.0
Sivir,13,4338.0
Sivir,14,4745.0
Sivir,15,5150.0
Sivir,16,5559.0
Sivir,17,5974.0
Sivir,18,6377.0
Sivir,19,6784.0
Sivir,20,7209.0
Sivir,21,7610.0
Sivir,22,8036.0
Sivir,23,8464.0
Sivir,24,8900.0
Sivir,25,9342.0
Sivir,26,9789.0
Sivir,27,10239.0
Sivir,28,10659.0
Sivir,29,11094.0
Sivir,30,11529.0
Sivir,31,11964.0
Sivir,32,12406.0
Sivir,33,12879.0
Sivir,34,13295.0
Sivir,35,13725.0
Sivir,36,14189.0
Sivir,37,14667.0
Sivir,38,15146.0
Sivir,39,15624.0
Sivir,40,16113.0
Sivir,41,16594.0
Sivir,42,17095.0
Sivir,43,17550.0
Sivir,44,18049.0
Sivir,45,18598.0
Sivir,46,19103.0
Sivir,47,19534.0
Sivir,48,20044.0
Sivir,49,20532.0
Sivir,50,21014.0
Sivir,51,21272.0
Sivir,52,21820.0
Sivir,53,22356.0
Sivir,54,22853.0
Sivir,55,23356.0
Sivir,56,23946.0
Sivir,57,24207.0
Sivir,58,24741.0
Sivir,59,25335.0
Sivir,60,26673.0
Sivir,61,27054.0
Sivir,62,27798.0
Sivir,63,28508.0
Sivir,64,29224.0
Sivir,65,30002.0
Sivir,66,30801.0
Sivir,67,31311.0
Sivir,68,31618.0
Sivir,69,31959.0
Sivir,70,32445.0
Sivir,71,32957.0
Sivir,72,36452.0
Sivir,73,36984.0
Sivir,74,37401.0
Sivir,75,38166.0
Sivir,76,39295.0
Sivir,77,44997.0
Sivir,78,45483.0
Sivir,79,46079.0
Sivir,80,46681.0
Sivir,81,47362.0
Sivir,82,47698.0
Sivir,83,48278.0
Sivir,84,48805.0
Sivir,85,49127.0
Sivir,86,49581.0
Sivir,87,50784.0
Sivir,88,51236.0
Sivir,89,51523.0
Sivir,90,52165.0
Sivir,91,52870.0
Sivir,92,53200.0
Sivir,93,54379.0
Sivir,94,54918.0
Caitlyn,0,498.0
Caitlyn,1,499.0
Caitlyn,2,544.0
Caitlyn,3,878.0
Caitlyn,4,1229.0
Caitlyn,5,1585.0
Caitlyn,6,1911.0
Caitlyn,7,2258.0
Caitlyn,8,2617.0
Caitlyn,9,2956.0
Caitlyn,10,3337.0
Caitlyn,11,3722.0
Caitlyn,12,4085.0
Caitlyn,13,4474.0
Caitlyn,14,4875.0
Caitlyn,15,5268.0
Caitlyn,16,5667.0
Caitlyn,17,6068.0
Caitlyn,18,6464.0
Caitlyn,19,6855.0
Caitlyn,20,7273.0
Caitlyn,21,7663.0
Caitlyn,22,8079.0
Caitlyn,23,8507.0
Caitlyn,24,8932.0
Caitlyn,25,9375.0
Caitlyn,26,9804.0
Caitlyn,27,10240.0
Caitlyn,28,10669.0
Caitlyn,29,11111.0
Caitlyn,30,11536.0
Caitlyn,31,11962.0
Caitlyn,32,12408.0
Caitlyn,33,12837.0
Caitlyn,34,13262.0
Caitlyn,35,13716.0
Caitlyn,36,14175.0
Caitlyn,37,14681.0
Caitlyn,38,15194.0
Caitlyn,39,15704.0
Caitlyn,40,16196.0
Caitlyn,41,16696.0
Caitlyn,42,17158.0
Caitlyn,43,17630.0
Caitlyn,44,18014.0
Caitlyn,45,18448.0
Caitlyn,46,18990.0
Caitlyn,47,19407.0
Caitlyn,48,19824.0
Caitlyn,49,20232.0
Caitlyn,50,20696.0
Caitlyn,51,21106.0
Caitlyn,52,21515.0
Caitlyn,53,21729.0
Caitlyn,54,22013.0
Caitlyn,55,22546.0
Caitlyn,56,22884.0
Caitlyn,57,23218.0
Caitlyn,58,23600.0
Caitlyn,59,23925.0
Caitlyn,60,24377.0
Caitlyn,61,25061.0
Caitlyn,62,25656.0
Caitlyn,63,25923.0
Caitlyn,64,26412.0
Caitlyn,65,26685.0
Caitlyn,66,26857.0
Caitlyn,67,26644.0
Caitlyn,68,27162.0
Caitlyn,69,27507.0
Caitlyn,70,28463.0
Caitlyn,71,27978.0
Corki,0,482.0
Corki,1,483.0
Corki,2,541.0
Corki,3,835.0
Corki,4,1179.0
Corki,5,1501.0
Corki,6,1821.0
Corki,7,2152.0
Corki,8,2470.0
Corki,9,2794.0
Corki,10,3156.0
Corki,11,3507.0
Corki,12,3853.0
Corki,13,4225.0
Corki,14,4585.0
Corki,15,4948.0
Corki,16,5341.0
Corki,17,5742.0
Corki,18,6133.0
