champ,time,value
RekSai,0,492.0
RekSai,1,493.0
RekSai,2,576.0
RekSai,3,920.0
RekSai,4,1253.0
RekSai,5,1553.0
RekSai,6,1844.0
RekSai,7,2138.0
RekSai,8,2457.0
RekSai,9,2786.0
RekSai,10,3116.0
RekSai,11,3440.0
RekSai,12,3756.0
RekSai,13,4086.0
RekSai,14,4430.0
RekSai,15,4784.0
RekSai,16,5125.0
RekSai,17,5465.0
RekSai,18,5795.0
RekSai,19,6130.0
RekSai,20,6471.0
RekSai,21,6803.0
RekSai,22,7135.0
RekSai,23,7467.0
RekSai,24,7798.0
RekSai,25,8125.0
RekSai,26,8446.0
RekSai,27,8773.0
RekSai,28,9088.0
RekSai,29,9418.0
RekSai,30,9744.0
RekSai,31,10073.0
RekSai,32,10384.0
RekSai,33,10700.0
RekSai,34,11005.0
RekSai,35,11310.0
RekSai,36,11625.0
RekSai,37,11935.0
RekSai,38,12260.0
RekSai,39,12585.0
RekSai,40,12923.0
RekSai,41,13256.0
RekSai,42,13611.0
RekSai,43,13881.0
RekSai,44,14218.0
RekSai,45,14527.0
RekSai,46,14791.0
RekSai,47,15208.0
RekSai,48,15573.0
RekSai,49,15993.0
RekSai,50,16340.0
RekSai,51,16633.0
RekSai,52,16876.0
RekSai,53,17199.0
RekSai,54,17561.0
RekSai,55,17873.0
RekSai,56,18232.0
RekSai,57,18464.0
RekSai,58,18851.0
RekSai,59,19130.0
RekSai,60,19452.0
RekSai,61,19387.0
RekSai,62,19432.0
RekSai,63,19487.0
RekSai,64,20071.0
RekSai,65,20374.0
RekSai,66,20551.0
RekSai,67,20842.0
RekSai,68,21361.0
RekSai,69,21340.0
RekSai,70,21433.0
RekSai,71,21872.0
RekSai,72,21929.0
RekSai,73,22146.0
RekSai,74,22695.0
RekSai,75,22982.0
RekSai,76,23262.0
RekSai,77,24881.0
RekSai,78,25084.0
RekSai,79,25453.0
RekSai,80,25634.0
Elise,0,497.0
Elise,1,497.0
Elise,2,586.0
Elise,3,931.0
Elise,4,1281.0
Elise,5,1577.0
Elise,6,1865.0
Elise,7,2151.0
Elise,8,2449.0
Elise,9,2758.0
Elise,10,3075.0
Elise,11,3384.0
Elise,12,3693.0
Elise,13,4025.0
Elise,14,4364.0
Elise,15,4713.0
Elise,16,5065.0
Elise,17,5406.0
Elise,18,5739.0
Elise,19,6082.0
Elise,20,6423.0
Elise,21,6759.0
Elise,22,7100.0
Elise,23,7428.0
Elise,24,7758.0
Elise,25,8095.0
Elise,26,8433.0
Elise,27,8772.0
Elise,28,9105.0
Elise,29,9431.0
Elise,30,9761.0
Elise,31,10088.0
Elise,32,10410.0
Elise,33,10735.0
Elise,34,11045.0
Elise,35,11360.0
Elise,36,11691.0
Elise,37,12026.0
Elise,38,12332.0
Elise,39,12626.0
Elise,40,12950.0
Elise,41,13287.0
Elise,42,13628.0
Elise,43,13919.0
Elise,44,14256.0
Elise,45,14593.0
Elise,46,14934.0
Elise,47,15221.0
Elise,48,15550.0
Elise,49,15872.0
Elise,50,16133.0
Elise,51,16441.0
Elise,52,16736.0
Elise,53,17048.0
Elise,54,17583.0
Elise,55,17827.0
Elise,56,18319.0
Elise,57,18792.0
Elise,58,19071.0
Elise,59,19294.0
Elise,60,19806.0
Elise,61,20059.0
Elise,62,20722.0
Elise,63,21024.0
Elise,64,21080.0
Elise,65,21381.0
Elise,66,21673.0
Elise,67,22024.0
Elise,68,21468.0
Elise,69,21714.0
Elise,70,21942.0
Elise,71,21589.0
Elise,72,23112.0
Elise,73,23622.0
Elise,74,24992.0
Elise,75,25539.0
Elise,76,25718.0
Elise,77,25898.0
Elise,78,26395.0
Elise,79,26988.0
Elise,80,27304.0
Rengar,0,496.0
Rengar,1,499.0
Rengar,2,608.0
Rengar,3,977.0
Rengar,4,1298.0
Rengar,5,1613.0
Rengar,6,1928.0
Rengar,7,2227.0
Rengar,8,2556.0
Rengar,9,2889.0
Rengar,10,3210.0
Rengar,11,3537.0
Rengar,12,3865.0
Rengar,13,4209.0
Rengar,14,4569.0
Rengar,15,4920.0
Rengar,16,5275.0
Rengar,17,5612.0
Rengar,18,5961.0
Rengar,19,6313.0
Rengar,20,6673.0
Rengar,21,7013.0
Rengar,22,7348.0
Rengar,23,7700.0
Rengar,24,8057.0
Rengar,25,8385.0
Rengar,26,8722.0
Rengar,27,9063.0
Rengar,28,9378.0
Rengar,29,9704.0
Rengar,30,10032.0
Rengar,31,10348.0
Rengar,32,10705.0
Rengar,33,11008.0
Rengar,34,11346.0
Rengar,35,11693.0
Rengar,36,12000.0
Rengar,37,12392.0
Rengar,38,12735.0
Rengar,39,13137.0
Rengar,40,13453.0
Rengar,41,13747.0
Rengar,42,14067.0
Rengar,43,14391.0
Rengar,44,14776.0
Rengar,45,15000.0
Rengar,46,15460.0
Rengar,47,15857.0
Rengar,48,16133.0
Rengar,49,16368.0
Rengar,50,16618.0
Rengar,51,16794.0
Rengar,52,17114.0
Rengar,53,17555.0
Rengar,54,17770.0
Rengar,55,17903.0
Rengar,56,18031.0
Rengar,57,18457.0
Rengar,58,18986.0
Rengar,59,19537.0
Rengar,60,19867.0
Rengar,61,20080.0
Rengar,62,20390.0
Rengar,63,20900.0
Rengar,64,21262.0
Rengar,65,22097.0
Rengar,66,22471.0
Rengar,67,25182.0
Rengar,68,25380.0
JarvanIV,0,487.0
JarvanIV,1,488.0
JarvanIV,2,579.0
JarvanIV,3,910.0
JarvanIV,4,1205.0
JarvanIV,5,1475.0
JarvanIV,6,1739.0
JarvanIV,7,2012.0
JarvanIV,8,2287.0
JarvanIV,9,2565.0
JarvanIV,10,2848.0
JarvanIV,11,3139.0
JarvanIV,12,3429.0
JarvanIV,13,3726.0
JarvanIV,14,4032.0
JarvanIV,15,4350.0
JarvanIV,16,4662.0
JarvanIV,17,4962.0
JarvanIV,18,5268.0
JarvanIV,19,5581.0
JarvanIV,20,5891.0
JarvanIV,21,6194.0
JarvanIV,22,6498.0
JarvanIV,23,6791.0
JarvanIV,24,7101.0
JarvanIV,25,7396.0
JarvanIV,26,7677.0
JarvanIV,27,7959.0
JarvanIV,28,8248.0
JarvanIV,29,8538.0
JarvanIV,30,8847.0
JarvanIV,31,9120.0
JarvanIV,32,9378.0
JarvanIV,33,9629.0
JarvanIV,34,9921.0
JarvanIV,35,10149.0
JarvanIV,36,10424.0
JarvanIV,37,10712.0
JarvanIV,38,11031.0
JarvanIV,39,11280.0
JarvanIV,40,11562.0
JarvanIV,41,11832.0
JarvanIV,42,12047.0
JarvanIV,43,12297.0
JarvanIV,44,12556.0
JarvanIV,45,12699.0
JarvanIV,46,13056.0
JarvanIV,47,13262.0
JarvanIV,48,13644.0
JarvanIV,49,13980.0
JarvanIV,50,14247.0
JarvanIV,51,14492.0
JarvanIV,52,14825.0
JarvanIV,53,14908.0
JarvanIV,54,15122.0
JarvanIV,55,15236.0
JarvanIV,56,15607.0
JarvanIV,57,16010.0
JarvanIV,58,15842.0
JarvanIV,59,15895.0
JarvanIV,60,16255.0
JarvanIV,61,16185.0
JarvanIV,62,16657.0
JarvanIV,63,16989.0
JarvanIV,64,17229.0
JarvanIV,65,17878.0
JarvanIV,66,18896.0
JarvanIV,67,19091.0
JarvanIV,68,19428.0
JarvanIV,69,19770.0
JarvanIV,70,20081.0
JarvanIV,71,20425.0
JarvanIV,72,20685.0
JarvanIV,73,21009.0
JarvanIV,74,21245.0
JarvanIV,75,21436.0
JarvanIV,76,21662.0
JarvanIV,77,21838.0
JarvanIV,78,22297.0
JarvanIV,79,22454.0
JarvanIV,80,22624.0
JarvanIV,81,26070.0
JarvanIV,82,26531.0
JarvanIV,83,26816.0
JarvanIV,84,27003.0
JarvanIV,85,27491.0
JarvanIV,86,27733.0
JarvanIV,87,27922.0
JarvanIV,88,28178.0
JarvanIV,89,28368.0
JarvanIV,90,28559.0
JarvanIV,91,28760.0
JarvanIV,92,28982.0
JarvanIV,93,29440.0
JarvanIV,94,29764.0
LeeSin,0,493.0
LeeSin,1,495.0
LeeSin,2,584.0
LeeSin,3,925.0
LeeSin,4,1253.0
LeeSin,5,1544.0
LeeSin,6,1832.0
LeeSin,7,2124.0
LeeSin,8,2432.0
LeeSin,9,2736.0
LeeSin,10,3050.0
LeeSin,11,3353.0
LeeSin,12,3656.0
LeeSin,13,3986.0
LeeSin,14,4326.0
LeeSin,15,4667.0
LeeSin,16,4995.0
LeeSin,17,5316.0
LeeSin,18,5640.0
LeeSin,19,5969.0
LeeSin,20,6294.0
LeeSin,21,6612.0
LeeSin,22,6930.0
LeeSin,23,7244.0
LeeSin,24,7555.0
LeeSin,25,7868.0
LeeSin,26,8170.0
LeeSin,27,8482.0
LeeSin,28,8772.0
LeeSin,29,9079.0
LeeSin,30,9373.0
LeeSin,31,9689.0
LeeSin,32,9979.0
LeeSin,33,10283.0
LeeSin,34,10598.0
LeeSin,35,10877.0
LeeSin,36,11173.0
LeeSin,37,11469.0
LeeSin,38,11744.0
LeeSin,39,12031.0
LeeSin,40,12302.0
LeeSin,41,12651.0
LeeSin,42,12944.0
LeeSin,43,13197.0
LeeSin,44,13475.0
LeeSin,45,13731.0
LeeSin,46,14042.0
LeeSin,47,14356.0
LeeSin,48,14656.0
LeeSin,49,14884.0
LeeSin,50,15197.0
LeeSin,51,15482.0
LeeSin,52,15950.0
LeeSin,53,16293.0
LeeSin,54,16530.0
LeeSin,55,16690.0
LeeSin,56,17140.0
LeeSin,57,17408.0
LeeSin,58,17464.0
LeeSin,59,18023.0
LeeSin,60,18542.0
LeeSin,61,18765.0
LeeSin,62,19371.0
LeeSin,63,19468.0
LeeSin,64,19515.0
LeeSin,65,20388.0
LeeSin,66,20613.0
LeeSin,67,20238.0
LeeSin,68,20708.0
LeeSin,69,20307.0
LeeSin,70,20717.0
LeeSin,71,21038.0
LeeSin,72,19657.0
LeeSin,73,20052.0
LeeSin,74,20199.0
LeeSin,75,20399.0
LeeSin,76,20870.0
LeeSin,77,21033.0
LeeSin,78,20256.0
LeeSin,79,20731.0
LeeSin,80,20994.0
Nunu,0,487.0
Nunu,1,487.0
Nunu,2,554.0
Nunu,3,864.0
Nunu,4,1169.0
Nunu,5,1442.0
Nunu,6,1720.0
Nunu,7,1991.0
Nunu,8,2258.0
Nunu,9,2533.0
Nunu,10,2824.0
Nunu,11,3116.0
Nunu,12,3391.0
Nunu,13,3679.0
Nunu,14,3970.0
Nunu,15,4278.0
Nunu,16,4589.0
Nunu,17,4873.0
Nunu,18,5163.0
Nunu,19,5481.0
Nunu,20,5773.0
Nunu,21,6081.0
Nunu,22,6377.0
Nunu,23,6666.0
Nunu,24,6921.0
Nunu,25,7227.0
Nunu,26,7515.0
Nunu,27,7832.0
Nunu,28,8119.0
Nunu,29,8445.0
Nunu,30,8718.0
Nunu,31,8980.0
Nunu,32,9239.0
Nunu,33,9489.0
Nunu,34,9770.0
Nunu,35,10046.0
Nunu,36,10307.0
Nunu,37,10509.0
Nunu,38,10758.0
Nunu,39,11046.0
Nunu,40,11359.0
Nunu,41,11652.0
Nunu,42,11906.0
Nunu,43,12222.0
Nunu,44,12427.0
Nunu,45,12739.0
Nunu,46,13117.0
Nunu,47,13415.0
Nunu,48,13870.0
Nunu,49,13765.0
Nunu,50,14179.0
Nunu,51,14087.0
Nunu,52,13774.0
Nunu,53,14023.0
Nunu,54,14241.0
Nunu,55,14525.0
Nunu,56,14892.0
Nunu,57,15609.0
Vi,0,475.0
Vi,1,476.0
Vi,2,536.0
Vi,3,850.0
Vi,4,1137.0
Vi,5,1394.0
Vi,6,1671.0
Vi,7,1974.0
Vi,8,2281.0
Vi,9,2569.0
Vi,10,2890.0
Vi,11,3179.0
Vi,12,3464.0
Vi,13,3771.0
Vi,14,4110.0
Vi,15,4442.0
Vi,16,4768.0
Vi,17,5048.0
Vi,18,5355.0
Vi,19,5685.0
Vi,20,6003.0
Vi,21,6312.0
Vi,22,6652.0
Vi,23,6958.0
Vi,24,7217.0
Vi,25,7467.0
Vi,26,7715.0
Vi,27,7980.0
Vi,28,8276.0
Vi,29,8564.0
Vi,30,8888.0
Vi,31,9164.0
Vi,32,9390.0
Vi,33,9746.0
Vi,34,9972.0
Vi,35,10289.0
Vi,36,10638.0
Vi,37,11071.0
Vi,38,11274.0
Vi,39,11597.0
Vi,40,11728.0
Vi,41,12076.0
Vi,42,12175.0
Vi,43,12267.0
Vi,44,12706.0
Vi,45,13122.0
Vi,46,13256.0
Vi,47,13556.0
Vi,48,13146.0
Vi,49,13472.0
Vi,50,13493.0
Vi,51,14014.0
Vi,52,14513.0
Vi,53,14627.0
Vi,54,15036.0
Vi,55,15239.0
Vi,56,15428.0
Vi,57,15912.0
Vi,58,16081.0
Vi,59,17568.0
Nocturne,0,491.0
Nocturne,1,491.0
Nocturne,2,597.0
Nocturne,3,924.0
Nocturne,4,1260.0
Nocturne,5,1532.0
Nocturne,6,1861.0
Nocturne,7,2176.0
Nocturne,8,2433.0
Nocturne,9,2758.0
Nocturne,10,3063.0
Nocturne,11,3358.0
Nocturne,12,3660.0
Nocturne,13,3964.0
Nocturne,14,4308.0
Nocturne,15,4679.0
Nocturne,16,4987.0
Nocturne,17,5325.0
Nocturne,18,5618.0
Nocturne,19,5976.0
Nocturne,20,6308.0
Nocturne,21,6649.0
Nocturne,22,6958.0
Nocturne,23,7332.0
Nocturne,24,7502.0
Nocturne,25,7650.0
Nocturne,26,7979.0
Nocturne,27,8398.0
Nocturne,28,8775.0
Nocturne,29,9217.0
Nocturne,30,9561.0
Nocturne,31,10060.0
Nocturne,32,10360.0
Nocturne,33,10734.0
Nocturne,34,11143.0
Nocturne,35,11492.0
Nocturne,36,11755.0
Nocturne,37,12294.0
Nocturne,38,12735.0
Nocturne,39,13146.0
Nocturne,40,13481.0
Nocturne,41,14198.0
Nocturne,42,14382.0
Nocturne,43,14698.0
Nocturne,44,14659.0
Nocturne,45,15196.0
Nocturne,46,15470.0
Nocturne,47,14582.0
Nocturne,48,14928.0
Nocturne,49,15143.0
