champ,time,value
Ahri,0,489.0
Ahri,1,490.0
Ahri,2,553.0
Ahri,3,848.0
Ahri,4,1166.0
Ahri,5,1488.0
Ahri,6,1793.0
Ahri,7,2127.0
Ahri,8,2484.0
Ahri,9,2837.0
Ahri,10,3206.0
Ahri,11,3583.0
Ahri,12,3948.0
Ahri,13,4334.0
Ahri,14,4737.0
Ahri,15,5134.0
Ahri,16,5523.0
Ahri,17,5929.0
Ahri,18,6316.0
Ahri,19,6706.0
Ahri,20,7103.0
Ahri,21,7497.0
Ahri,22,7890.0
Ahri,23,8294.0
Ahri,24,8694.0
Ahri,25,9103.0
Ahri,26,9498.0
Ahri,27,9931.0
Ahri,28,10325.0
Ahri,29,10717.0
Ahri,30,11093.0
Ahri,31,11498.0
Ahri,32,11865.0
Ahri,33,12305.0
Ahri,34,12652.0
Ahri,35,13013.0
Ahri,36,13373.0
Ahri,37,13753.0
Ahri,38,14185.0
Ahri,39,14580.0
Ahri,40,14941.0
Ahri,41,15375.0
Ahri,42,15713.0
Ahri,43,16153.0
Ahri,44,16640.0
Ahri,45,17040.0
Ahri,46,17501.0
Ahri,47,17854.0
Ahri,48,18266.0
Ahri,49,18602.0
Ahri,50,18941.0
Ahri,51,19280.0
Ahri,52,19436.0
Ahri,53,19665.0
Ahri,54,20071.0
Ahri,55,20363.0
Ahri,56,21008.0
Ahri,57,21312.0
Ahri,58,21652.0
Ahri,59,21994.0
Ahri,60,22089.0
Ahri,61,22360.0
Ahri,62,22682.0
Ahri,63,22105.0
Ahri,64,22028.0
Ahri,65,23877.0
Ahri,66,23107.0
Ahri,67,23715.0
Ahri,68,23996.0
Ahri,69,24443.0
Ahri,70,24726.0
Ahri,71,25141.0
Ahri,72,25384.0
Ahri,73,25629.0
Ahri,74,26122.0
Ahri,75,26406.0
Ahri,76,26806.0
Ahri,77,27201.0
Fizz,0,487.0
Fizz,1,487.0
Fizz,2,541.0
Fizz,3,806.0
Fizz,4,1119.0
Fizz,5,1417.0
Fizz,6,1710.0
Fizz,7,2039.0
Fizz,8,2362.0
Fizz,9,2717.0
Fizz,10,3076.0
Fizz,11,3443.0
Fizz,12,3793.0
Fizz,13,4151.0
Fizz,14,4550.0
Fizz,15,4935.0
Fizz,16,5311.0
Fizz,17,5705.0
Fizz,18,6119.0
Fizz,19,6489.0
Fizz,20,6896.0
Fizz,21,7280.0
Fizz,22,7706.0
Fizz,23,8113.0
Fizz,24,8515.0
Fizz,25,8945.0
Fizz,26,9390.0
Fizz,27,9769.0
Fizz,28,10225.0
Fizz,29,10626.0
Fizz,30,11017.0
Fizz,31,11491.0
Fizz,32,11903.0
Fizz,33,12408.0
Fizz,34,12766.0
Fizz,35,13102.0
Fizz,36,13476.0
Fizz,37,13789.0
Fizz,38,14289.0
Fizz,39,14757.0
Fizz,40,15327.0
Fizz,41,15581.0
Fizz,42,15916.0
Fizz,43,16370.0
Fizz,44,16290.0
Fizz,45,16793.0
Fizz,46,17592.0
Fizz,47,18444.0
Fizz,48,18945.0
Fizz,49,19181.0
