champ,time,value
Janna,0,508.0
Janna,1,510.0
Janna,2,556.0
Janna,3,734.0
Janna,4,929.0
Janna,5,1115.0
Janna,6,1308.0
Janna,7,1496.0
Janna,8,1683.0
Janna,9,1877.0
Janna,10,2074.0
Janna,11,2285.0
Janna,12,2494.0
Janna,13,2722.0
Janna,14,2953.0
Janna,15,3191.0
Janna,16,3433.0
Janna,17,3677.0
Janna,18,3924.0
Janna,19,4171.0
Janna,20,4424.0
Janna,21,4678.0
Janna,22,4945.0
Janna,23,5201.0
Janna,24,5461.0
Janna,25,5706.0
Janna,26,5971.0
Janna,27,6230.0
Janna,28,6490.0
Janna,29,6747.0
Janna,30,6981.0
Janna,31,7233.0
Janna,32,7468.0
Janna,33,7688.0
Janna,34,7911.0
Janna,35,8183.0
Janna,36,8425.0
Janna,37,8703.0
Janna,38,8880.0
Janna,39,9079.0
Janna,40,9344.0
Janna,41,9638.0
Janna,42,9940.0
Janna,43,10191.0
Janna,44,10451.0
Janna,45,10617.0
Janna,46,10942.0
Janna,47,11256.0
Janna,48,11507.0
Janna,49,11756.0
Janna,50,12095.0
Janna,51,12183.0
Janna,52,12412.0
Janna,53,12533.0
Janna,54,12677.0
Janna,55,12698.0
Janna,56,13008.0
Janna,57,13337.0
Janna,58,13858.0
Janna,59,14372.0
Janna,60,14372.0
Janna,61,14719.0
Janna,62,14631.0
Janna,63,14924.0
Janna,64,15235.0
Janna,65,16070.0
Janna,66,15993.0
Janna,67,16327.0
Janna,68,16849.0
Janna,69,17020.0
Janna,70,17344.0
Janna,71,17642.0
Janna,72,17886.0
Janna,73,18231.0
Janna,74,18426.0
Janna,75,18604.0
Janna,76,18943.0
Janna,77,19167.0
Janna,78,19523.0
Janna,79,19761.0
Janna,80,20046.0
Janna,81,23625.0
Janna,82,24082.0
Janna,83,24291.0
Janna,84,24524.0
Janna,85,25106.0
Janna,86,25425.0
Janna,87,25662.0
Janna,88,25971.0
Janna,89,26199.0
Janna,90,26490.0
Janna,91,26706.0
Janna,92,26945.0
Janna,93,27415.0
Janna,94,27700.0
Thresh,0,505.0
Thresh,1,506.0
Thresh,2,534.0
Thresh,3,711.0
Thresh,4,907.0
Thresh,5,1094.0
Thresh,6,1275.0
Thresh,7,1465.0
Thresh,8,1653.0
Thresh,9,1841.0
Thresh,10,2039.0
Thresh,11,2243.0
Thresh,12,2446.0
Thresh,13,2680.0
Thresh,14,2911.0
Thresh,15,3148.0
Thresh,16,3390.0
Thresh,17,3636.0
Thresh,18,3877.0
Thresh,19,4125.0
Thresh,20,4373.0
Thresh,21,4617.0
Thresh,22,4869.0
Thresh,23,5123.0
Thresh,24,5379.0
Thresh,25,5642.0
Thresh,26,5902.0
Thresh,27,6161.0
Thresh,28,6413.0
Thresh,29,6660.0
Thresh,30,6911.0
Thresh,31,7150.0
Thresh,32,7389.0
Thresh,33,7615.0
Thresh,34,7848.0
Thresh,35,8092.0
Thresh,36,8321.0
Thresh,37,8557.0
Thresh,38,8846.0
Thresh,39,9077.0
Thresh,40,9305.0
Thresh,41,9553.0
Thresh,42,9832.0
Thresh,43,10065.0
Thresh,44,10337.0
Thresh,45,10543.0
Thresh,46,10766.0
Thresh,47,11021.0
Thresh,48,11264.0
Thresh,49,11497.0
Thresh,50,11733.0
Thresh,51,11889.0
Thresh,52,12177.0
Thresh,53,12391.0
Thresh,54,12699.0
Thresh,55,12970.0
Thresh,56,13260.0
Thresh,57,13486.0
Thresh,58,13681.0
Thresh,59,13987.0
Thresh,60,14200.0
Thresh,61,14579.0
Thresh,62,14941.0
Thresh,63,14684.0
Thresh,64,15323.0
Thresh,65,15678.0
Thresh,66,15177.0
Thresh,67,14239.0
Thresh,68,14381.0
Thresh,69,14697.0
Thresh,70,14885.0
Thresh,71,15103.0
Leona,0,509.0
Leona,1,510.0
Leona,2,563.0
Leona,3,740.0
Leona,4,922.0
Leona,5,1104.0
Leona,6,1274.0
Leona,7,1470.0
Leona,8,1665.0
Leona,9,1848.0
Leona,10,2047.0
Leona,11,2252.0
Leona,12,2461.0
Leona,13,2684.0
Leona,14,2909.0
Leona,15,3152.0
Leona,16,3392.0
Leona,17,3628.0
Leona,18,3876.0
Leona,19,4117.0
Leona,20,4364.0
Leona,21,4601.0
Leona,22,4819.0
Leona,23,5071.0
Leona,24,5309.0
Leona,25,5526.0
Leona,26,5757.0
Leona,27,5979.0
Leona,28,6239.0
Leona,29,6484.0
Leona,30,6714.0
Leona,31,6925.0
Leona,32,7107.0
Leona,33,7313.0
Leona,34,7511.0
Leona,35,7732.0
Leona,36,8029.0
Leona,37,8258.0
Leona,38,8539.0
Leona,39,8715.0
Leona,40,8948.0
Leona,41,9194.0
Leona,42,9410.0
Leona,43,9539.0
Leona,44,9742.0
Leona,45,9959.0
Leona,46,10269.0
Leona,47,10338.0
Leona,48,10736.0
Leona,49,10859.0
Leona,50,11242.0
Leona,51,11623.0
Leona,52,11960.0
Leona,53,12103.0
Leona,54,12355.0
Leona,55,12678.0
Leona,56,12334.0
Leona,57,12594.0
Leona,58,13050.0
Leona,59,13072.0
Leona,60,13434.0
Leona,61,13326.0
Leona,62,13785.0
Leona,63,14031.0
Annie,0,513.0
Annie,1,514.0
Annie,2,587.0
Annie,3,754.0
Annie,4,936.0
