champ,time,value
Irelia,0,492.0
Irelia,1,492.0
Irelia,2,514.0
Irelia,3,749.0
Irelia,4,1132.0
Irelia,5,1422.0
Irelia,6,1746.0
Irelia,7,2073.0
Irelia,8,2376.0
Irelia,9,2694.0
Irelia,10,3025.0
Irelia,11,3367.0
Irelia,12,3701.0
Irelia,13,4072.0
Irelia,14,4420.0
Irelia,15,4772.0
Irelia,16,5155.0
Irelia,17,5542.0
Irelia,18,5906.0
Irelia,19,6297.0
Irelia,20,6677.0
Irelia,21,7067.0
Irelia,22,7466.0
Irelia,23,7876.0
Irelia,24,8283.0
Irelia,25,8697.0
Irelia,26,9092.0
Irelia,27,9524.0
Irelia,28,9920.0
Irelia,29,10298.0
Irelia,30,10668.0
Irelia,31,11037.0
Irelia,32,11483.0
Irelia,33,11857.0
Irelia,34,12202.0
Irelia,35,12605.0
Irelia,36,13035.0
Irelia,37,13347.0
Irelia,38,13670.0
Irelia,39,13996.0
Irelia,40,14292.0
Irelia,41,14748.0
Irelia,42,15271.0
Irelia,43,15767.0
Irelia,44,16263.0
Irelia,45,16596.0
Irelia,46,17265.0
Irelia,47,17580.0
Irelia,48,17781.0
Irelia,49,18049.0
Irelia,50,18547.0
Irelia,51,18920.0
Irelia,52,19509.0
Irelia,53,19984.0
Irelia,54,20847.0
Irelia,55,21548.0
Irelia,56,21677.0
Irelia,57,22124.0
Irelia,58,22404.0
Irelia,59,22574.0
Irelia,60,22864.0
Irelia,61,23073.0
Irelia,62,23471.0
Irelia,63,23944.0
Irelia,64,24250.0
Irelia,65,24668.0
Irelia,66,24958.0
Irelia,67,25230.0
Irelia,68,23908.0
Irelia,69,24350.0
Irelia,70,26667.0
Irelia,71,27012.0
Irelia,72,27650.0
Irelia,73,27904.0
Irelia,74,28395.0
Irelia,75,28986.0
Irelia,76,29178.0
Irelia,77,29485.0
Irelia,78,30014.0
Irelia,79,30598.0
Irelia,80,30903.0
Gnar,0,492.0
Gnar,1,493.0
Gnar,2,522.0
Gnar,3,788.0
Gnar,4,1112.0
Gnar,5,1421.0
Gnar,6,1730.0
Gnar,7,2047.0
Gnar,8,2371.0
Gnar,9,2696.0
Gnar,10,3039.0
Gnar,11,3385.0
Gnar,12,3726.0
Gnar,13,4098.0
